id_action,action,categorie_beneficiaire_action
1012.0103,"1.1.2.1b. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES) dans les secteurs ferroviaire et maritime et dans celui du camionnage - Transportez-vert","Organismes à but non lucratif"
1012.0103,"1.1.2.1b. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES) dans les secteurs ferroviaire et maritime et dans celui du camionnage - Transportez-vert","Entreprises (grandes entreprises)"
1012.0103,"1.1.2.1b. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES) dans les secteurs ferroviaire et maritime et dans celui du camionnage - Transportez-vert","Entreprises (petites ou moyennes entreprises)"
1012.0103,"1.1.2.1b. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES) dans les secteurs ferroviaire et maritime et dans celui du camionnage - Transportez-vert","Milieu municipal"
1012.0105,"1.1.2.1c. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES)  - Programme d’aide gouvernementale à l’amélioration de l’efficacité du transport maritime, aérien et ferroviaire (PETMAF)","Administrations portuaires"
1012.0105,"1.1.2.1c. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES)  - Programme d’aide gouvernementale à l’amélioration de l’efficacité du transport maritime, aérien et ferroviaire (PETMAF)","Entreprises (grandes entreprises)"
1012.0105,"1.1.2.1c. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES)  - Programme d’aide gouvernementale à l’amélioration de l’efficacité du transport maritime, aérien et ferroviaire (PETMAF)","Entreprises (petites ou moyennes entreprises)"
1012.0105,"1.1.2.1c. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES)  - Programme d’aide gouvernementale à l’amélioration de l’efficacité du transport maritime, aérien et ferroviaire (PETMAF)","Milieu municipal"
1012.0105,"1.1.2.1c. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES)  - Programme d’aide gouvernementale à l’amélioration de l’efficacité du transport maritime, aérien et ferroviaire (PETMAF)","Organismes à but non lucratif"
1012.0107,"1.1.2.1d. Appuyer l’électrification, l'efficacité et la conversion vers des carburants moins émetteurs de gaz à effet de serre (GES)  - Accélérer l'implantation de recharge publique pour le transport lourd le long des principaux axes routiers","Ministères et organismes gouvernementaux"
1013.01,"1.1.3.1. Simplifier et bonifier les aides financières offertes pour les bornes de recharge à domicile et les dans entreprises","OBNL"
1013.01,"1.1.3.1. Simplifier et bonifier les aides financières offertes pour les bornes de recharge à domicile et les dans entreprises","Entreprises (petites ou moyennes entreprises)"
1013.01,"1.1.3.1. Simplifier et bonifier les aides financières offertes pour les bornes de recharge à domicile et les dans entreprises","Milieu municipal"
1013.01,"1.1.3.1. Simplifier et bonifier les aides financières offertes pour les bornes de recharge à domicile et les dans entreprises","Communautés autochtones"
1013.01,"1.1.3.1. Simplifier et bonifier les aides financières offertes pour les bornes de recharge à domicile et les dans entreprises","Citoyens"
1013.01,"1.1.3.1. Simplifier et bonifier les aides financières offertes pour les bornes de recharge à domicile et les dans entreprises","Entreprises (grandes entreprises)"
1013.04,"1.1.3.4. Appuyer l'électrification des véhicules d’urgence et autres véhicules","Entreprises (grandes entreprises)"
1013.04,"1.1.3.4. Appuyer l'électrification des véhicules d’urgence et autres véhicules","Entreprises (petites ou moyennes entreprises)"
1021.01,"1.2.1.1. Appuyer des projets structurants de transport collectif électrique","Entreprises (grandes entreprises)"
1021.01,"1.2.1.1. Appuyer des projets structurants de transport collectif électrique","Entreprises (petites ou moyennes entreprises)"
1021.01,"1.2.1.1. Appuyer des projets structurants de transport collectif électrique","Milieu municipal"
1021.0201,"1.2.1.2a. Accroître l'offre de services de transport collectif  - Programme d'aide au développement du transport collectif (PADTC - offre de service)","Organismes à but non lucratif"
1021.0201,"1.2.1.2a. Accroître l'offre de services de transport collectif  - Programme d'aide au développement du transport collectif (PADTC - offre de service)","Milieu municipal"
1021.0201,"1.2.1.2a. Accroître l'offre de services de transport collectif  - Programme d'aide au développement du transport collectif (PADTC - offre de service)","Entreprises (grandes entreprises)"
